Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,First,Last
467,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,27.0,1992.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,Matches,Koen Casteels,Koen-Casteels
468,Jean-Charles Castelletto\Jean-Charles-Castelletto,cm CMR,DF,Brest,fr Ligue 1,24.0,1995.0,20.4,23.0,12,15.0,8.0,0.0,10.0,18.0,55.6,8.0,146.0,53.0,36.3,78.0,65.0,3.0,41.0,19.0,0.0,22.0,16,39,147.0,3.0,Matches,Jean-Charles Castelletto,Jean-Charles-Castelletto
469,Samu Castillejo\Samu-Castillejo,es ESP,FWMF,Milan,it Serie A,24.0,1995.0,13.4,25.0,18,9.0,11.0,5.0,9.0,36.0,25.0,27.0,327.0,87.0,26.6,73.0,145.0,109.0,37.0,2.0,0.0,35.0,18,43,6.0,0.0,Matches,Samu Castillejo,Samu-Castillejo
470,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,eng Premier League,25.0,1994.0,32.1,98.0,61,60.0,29.0,9.0,34.0,90.0,37.8,56.0,722.0,215.0,29.8,326.0,284.0,112.0,79.0,9.0,0.0,70.0,36,134,45.0,2.0,Matches,Jonny Castro,Jonny-Castro
471,Lucas Castro\Lucas-Castro,ar ARG,MF,SPAL,it Serie A,30.0,1989.0,4.7,11.0,6,5.0,5.0,1.0,5.0,9.0,55.6,4.0,65.0,20.0,30.8,25.0,27.0,13.0,6.0,0.0,0.0,6.0,1,12,3.0,0.0,Matches,Lucas Castro,Lucas-Castro
472,Lucas Castro\Lucas-Castro,ar ARG,MF,Cagliari,it Serie A,30.0,1989.0,6.7,14.0,8,5.0,7.0,2.0,7.0,21.0,33.3,14.0,107.0,28.0,26.2,33.0,49.0,25.0,7.0,1.0,0.0,6.0,4,18,17.0,0.0,Matches,Lucas Castro,Lucas-Castro
473,Gaetano Castrovilli\Gaetano-Castrovilli,it ITA,MF,Fiorentina,it Serie A,22.0,1997.0,29.7,74.0,46,33.0,24.0,17.0,14.0,54.0,25.9,40.0,687.0,184.0,26.8,226.0,297.0,164.0,53.0,5.0,0.0,48.0,25,99,28.0,1.0,Matches,Gaetano Castrovilli,Gaetano-Castrovilli
474,Danilo Cataldi\Danilo-Cataldi,it ITA,MF,Lazio,it Serie A,24.0,1994.0,6.6,19.0,14,11.0,5.0,3.0,6.0,18.0,33.3,12.0,115.0,28.0,24.3,53.0,46.0,16.0,8.0,1.0,0.0,7.0,5,24,6.0,0.0,Matches,Danilo Cataldi,Danilo-Cataldi
475,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,eng Premier League,30.0,1989.0,27.6,37.0,26,21.0,15.0,1.0,10.0,30.0,33.3,20.0,195.0,68.0,34.9,113.0,74.0,8.0,35.0,16.0,1.0,19.0,16,53,195.0,2.0,Matches,Craig Cathcart,Craig-Cathcart
476,Edinson Cavani\Edinson-Cavani,uy URU,FW,Paris S-G,fr Ligue 1,32.0,1987.0,6.7,6.0,4,1.0,2.0,3.0,1.0,5.0,20.0,4.0,90.0,19.0,21.1,1.0,37.0,52.0,7.0,1.0,0.0,6.0,0,6,0.0,0.0,Matches,Edinson Cavani,Edinson-Cavani
477,Santi Cazorla\Santi-Cazorla,es ESP,MF,Villarreal,es La Liga,34.0,1984.0,27.2,44.0,28,14.0,27.0,3.0,18.0,58.0,31.0,40.0,476.0,131.0,27.5,134.0,259.0,83.0,35.0,2.0,0.0,33.0,13,57,9.0,0.0,Matches,Santi Cazorla,Santi-Cazorla
478,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,eng Premier League,22.0,1996.0,18.8,49.0,28,25.0,17.0,7.0,17.0,62.0,27.4,45.0,445.0,120.0,27.0,197.0,191.0,57.0,29.0,4.0,0.0,25.0,20,69,22.0,1.0,Matches,Dani Ceballos,Dani-Ceballos
479,Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Fiorentina,it Serie A,27.0,1992.0,9.3,12.0,10,8.0,4.0,0.0,6.0,8.0,75.0,2.0,63.0,28.0,44.4,30.0,29.0,4.0,12.0,5.0,0.0,7.0,10,22,56.0,1.0,Matches,Federico Ceccherini,Federico-Ceccherini
480,Christian Celesia\Christian-Celesia,it ITA,DF,Torino,it Serie A,17.0,2002.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,Christian Celesia,Christian-Celesia
481,Zeki Çelik\Zeki-Celik,tr TUR,DF,Lille,fr Ligue 1,22.0,1997.0,23.0,65.0,34,32.0,28.0,5.0,31.0,79.0,39.2,48.0,391.0,118.0,30.2,139.0,175.0,77.0,37.0,5.0,0.0,32.0,15,80,49.0,0.0,Matches,Zeki Çelik,Zeki-Celik
482,Fabien Centonze\Fabien-Centonze,fr FRA,DF,Metz,fr Ligue 1,23.0,1996.0,28.0,89.0,53,59.0,26.0,4.0,33.0,58.0,56.9,25.0,444.0,116.0,26.1,251.0,149.0,44.0,61.0,11.0,0.0,50.0,45,134,147.0,1.0,Matches,Fabien Centonze,Fabien-Centonze
483,Luca Ceppitelli\Luca-Ceppitelli,it ITA,DF,Cagliari,it Serie A,29.0,1989.0,13.8,20.0,12,16.0,4.0,0.0,5.0,7.0,71.4,2.0,100.0,26.0,26.0,76.0,21.0,3.0,30.0,16.0,1.0,14.0,17,37,85.0,1.0,Matches,Luca Ceppitelli,Luca-Ceppitelli
484,Alberto Cerri\Alberto-Cerri,it ITA,FW,SPAL,it Serie A,23.0,1996.0,4.7,3.0,1,0.0,2.0,1.0,1.0,3.0,33.3,2.0,47.0,9.0,19.1,3.0,22.0,22.0,1.0,0.0,0.0,1.0,1,4,4.0,0.0,Matches,Alberto Cerri,Alberto-Cerri
485,Alberto Cerri\Alberto-Cerri,it ITA,FW,Cagliari,it Serie A,23.0,1996.0,2.7,4.0,3,3.0,1.0,0.0,2.0,5.0,40.0,3.0,34.0,9.0,26.5,2.0,18.0,14.0,0.0,0.0,0.0,0.0,0,4,2.0,0.0,Matches,Alberto Cerri,Alberto-Cerri
486,Julian Chabot\Julian-Chabot,de GER,DF,Sampdoria,it Serie A,21.0,1998.0,6.3,14.0,10,10.0,4.0,0.0,3.0,6.0,50.0,3.0,67.0,21.0,31.3,44.0,21.0,2.0,8.0,2.0,0.0,6.0,14,28,40.0,1.0,Matches,Julian Chabot,Julian-Chabot
487,Florian Chabrolle\Florian-Chabrolle,fr FRA,MF,Marseille,fr Ligue 1,21.0,1998.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,3.0,37.5,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,Florian Chabrolle,Florian-Chabrolle
488,Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,fr Ligue 1,32.0,1986.0,17.0,40.0,23,24.0,12.0,4.0,17.0,42.0,40.5,25.0,212.0,57.0,26.9,105.0,88.0,19.0,21.0,3.0,0.0,18.0,30,70,45.0,0.0,Matches,Fouad Chafik,Fouad-Chafik
489,Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,es La Liga,25.0,1993.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,5.0,45.5,8.0,3.0,0.0,1.0,1.0,0.0,0.0,1,1,9.0,0.0,Matches,Sofian Chakla,Sofian-Chakla
490,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,eng Premier League,24.0,1994.0,10.3,33.0,19,10.0,16.0,7.0,9.0,27.0,33.3,18.0,227.0,65.0,28.6,76.0,112.0,39.0,13.0,5.0,0.0,8.0,9,42,32.0,0.0,Matches,Nathaniel Chalobah,Nathaniel-Chalobah
491,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,eng Premier League,24.0,1995.0,12.2,25.0,18,14.0,8.0,3.0,9.0,12.0,75.0,3.0,143.0,51.0,35.7,77.0,41.0,25.0,21.0,7.0,0.0,14.0,13,38,61.0,0.0,Matches,Calum Chambers,Calum-Chambers
