Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,First,Last
1243,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,eng Premier League,26.0,1993.0,28.7,20.0,14,5.0,13.0,2.0,6.0,19.0,31.6,13.0,448.0,100.0,22.3,23.0,218.0,207.0,31.0,12.0,0.0,19.0,4,24,30.0,0.0,Matches,Harry Kane,Harry-Kane
1244,Wilfried Kanga\Wilfried-Kanga,fr FRA,FW,Angers,fr Ligue 1,21.0,1998.0,0.8,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,2.0,10.5,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,Wilfried Kanga,Wilfried-Kanga
1245,Lee Kangin\Lee-Kangin,kr KOR,MFFW,Valencia,es La Liga,18.0,2001.0,5.0,3.0,2,1.0,1.0,1.0,0.0,5.0,0.0,5.0,113.0,28.0,24.8,13.0,67.0,33.0,3.0,0.0,0.0,3.0,0,3,1.0,0.0,Matches,Lee Kangin,Lee-Kangin
1246,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,eng Premier League,28.0,1991.0,19.2,58.0,43,30.0,21.0,7.0,12.0,33.0,36.4,21.0,438.0,141.0,32.2,153.0,190.0,95.0,43.0,3.0,0.0,40.0,28,86,35.0,0.0,Matches,N'Golo Kanté,NGolo-Kante
1247,Stefanos Kapino\Stefanos-Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,25.0,1994.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0.0,Matches,Stefanos Kapino,Stefanos-Kapino
1248,Wilfrid Kaptoum\Wilfrid-Kaptoum,cm CMR,MF,Betis,es La Liga,23.0,1996.0,2.2,6.0,5,3.0,2.0,1.0,2.0,2.0,100.0,0.0,43.0,18.0,41.9,15.0,21.0,7.0,3.0,1.0,0.0,2.0,3,9,6.0,0.0,Matches,Wilfrid Kaptoum,Wilfrid-Kaptoum
1249,Kenan Karaman\Kenan-Karaman,tr TUR,FW,Düsseldorf,de Bundesliga,25.0,1994.0,15.0,8.0,4,2.0,3.0,3.0,7.0,12.0,58.3,5.0,215.0,60.0,27.9,20.0,110.0,85.0,12.0,5.0,0.0,7.0,2,10,9.0,0.0,Matches,Kenan Karaman,Kenan-Karaman
1250,Yann Karamoh\Yann-Karamoh,fr FRA,FWMF,Parma,it Serie A,21.0,1998.0,6.4,8.0,5,3.0,4.0,1.0,3.0,10.0,30.0,7.0,137.0,35.0,25.5,24.0,72.0,41.0,8.0,0.0,0.0,8.0,2,10,4.0,0.0,Matches,Yann Karamoh,Yann-Karamoh
1251,Mamoudou Karamoko\Mamoudou-Karamoko,fr FRA,MF,Wolfsburg,de Bundesliga,20.0,1999.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,Mamoudou Karamoko,Mamoudou-Karamoko
1252,Florian Kastenmeier\Florian-Kastenmeier,de GER,GK,Düsseldorf,de Bundesliga,22.0,1997.0,17.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1.0,1.0,Matches,Florian Kastenmeier,Florian-Kastenmeier
1253,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,de Bundesliga,18.0,2001.0,14.6,33.0,20,25.0,7.0,1.0,9.0,30.0,30.0,21.0,206.0,67.0,32.5,120.0,65.0,21.0,23.0,1.0,0.0,22.0,22,55,40.0,0.0,Matches,Noah Katterbach,Noah-Katterbach
1254,Moise Kean\Moise-Kean,it ITA,FW,Everton,eng Premier League,19.0,2000.0,9.5,7.0,6,2.0,2.0,3.0,0.0,3.0,0.0,3.0,119.0,36.0,30.3,12.0,50.0,57.0,4.0,1.0,0.0,3.0,6,13,3.0,0.0,Matches,Moise Kean,Moise-Kean
1255,Michael Keane\Michael-Keane,eng ENG,DF,Everton,eng Premier League,26.0,1993.0,28.4,41.0,26,26.0,14.0,1.0,15.0,27.0,55.6,12.0,189.0,65.0,34.4,124.0,60.0,5.0,52.0,27.0,0.0,25.0,24,65,208.0,1.0,Matches,Michael Keane,Michael-Keane
1256,Thilo Kehrer\Thilo-Kehrer,de GER,DF,Paris S-G,fr Ligue 1,22.0,1996.0,5.3,10.0,6,4.0,3.0,3.0,3.0,9.0,33.3,6.0,53.0,16.0,30.2,19.0,23.0,11.0,3.0,1.0,0.0,2.0,2,12,5.0,0.0,Matches,Thilo Kehrer,Thilo-Kehrer
1257,Jules Keita\Jules-Keita,gn GUI,MFFW,Dijon,fr Ligue 1,21.0,1998.0,1.8,2.0,1,1.0,0.0,1.0,0.0,4.0,0.0,4.0,26.0,3.0,11.5,5.0,17.0,4.0,0.0,0.0,0.0,0.0,2,4,1.0,0.0,Matches,Jules Keita,Jules-Keita
1258,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,eng Premier League,24.0,1995.0,9.1,27.0,20,8.0,13.0,6.0,9.0,25.0,36.0,16.0,213.0,78.0,36.6,41.0,99.0,73.0,19.0,0.0,0.0,19.0,14,41,4.0,0.0,Matches,Naby Keïta,Naby-Keita
1259,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,de Bundesliga,19.0,2000.0,1.9,2.0,1,1.0,1.0,0.0,0.0,2.0,0.0,2.0,41.0,7.0,17.1,14.0,20.0,7.0,4.0,1.0,0.0,3.0,4,6,4.0,0.0,Matches,Yannik Keitel,Yannik-Keitel
1260,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,eng Premier League,20.0,1998.0,7.1,9.0,6,5.0,4.0,0.0,5.0,9.0,55.6,4.0,73.0,29.0,39.7,39.0,27.0,7.0,11.0,6.0,0.0,5.0,4,13,17.0,1.0,Matches,Lloyd Kelly,Lloyd-Kelly
1261,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,eng Premier League,29.0,1990.0,17.2,24.0,18,18.0,6.0,0.0,12.0,29.0,41.4,17.0,181.0,63.0,34.8,129.0,42.0,10.0,50.0,15.0,0.0,35.0,10,34,102.0,3.0,Matches,Martin Kelly,Martin-Kelly
1262,Kenedy\Kenedy,br BRA,MFDF,Getafe,es La Liga,23.0,1996.0,6.5,11.0,8,2.0,5.0,4.0,2.0,3.0,66.7,1.0,111.0,30.0,27.0,20.0,62.0,29.0,9.0,1.0,0.0,8.0,11,22,7.0,0.0,Matches,Kenedy,Kenedy
1263,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Schalke 04,de Bundesliga,22.0,1997.0,30.2,59.0,39,25.0,30.0,4.0,21.0,53.0,39.6,32.0,406.0,131.0,32.3,183.0,165.0,58.0,57.0,11.0,1.0,46.0,28,87,92.0,1.0,Matches,Jonjoe Kenny,Jonjoe-Kenny
1264,Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,it Serie A,22.0,1996.0,32.3,52.0,33,24.0,19.0,9.0,14.0,52.0,26.9,38.0,589.0,163.0,27.7,171.0,302.0,116.0,54.0,6.0,0.0,48.0,18,70,41.0,1.0,Matches,Franck Kessié,Franck-Kessie
1265,Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,tn TUN,MFFW,Marseille,fr Ligue 1,24.0,1995.0,1.2,3.0,1,0.0,3.0,0.0,2.0,4.0,50.0,2.0,27.0,7.0,25.9,6.0,16.0,5.0,2.0,0.0,0.0,2.0,1,4,3.0,0.0,Matches,Saîf-Eddine Khaoui,Saif-Eddine-Khaoui
1266,Wahbi Khazri\Wahbi-Khazri,tn TUN,FWMF,Saint-Étienne,fr Ligue 1,28.0,1991.0,12.8,18.0,11,5.0,4.0,9.0,4.0,23.0,17.4,19.0,250.0,63.0,25.2,16.0,125.0,109.0,13.0,0.0,0.0,13.0,4,22,1.0,0.0,Matches,Wahbi Khazri,Wahbi-Khazri
1267,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,de Bundesliga,25.0,1994.0,29.4,61.0,35,18.0,33.0,10.0,17.0,57.0,29.8,40.0,582.0,140.0,24.1,173.0,330.0,79.0,53.0,14.0,0.0,39.0,36,97,69.0,0.0,Matches,Rani Khedira,Rani-Khedira
1268,Sami Khedira\Sami-Khedira,de GER,MF,Juventus,it Serie A,32.0,1987.0,7.6,17.0,13,3.0,8.0,6.0,3.0,18.0,16.7,15.0,131.0,44.0,33.6,25.0,75.0,31.0,20.0,2.0,0.0,18.0,4,21,11.0,0.0,Matches,Sami Khedira,Sami-Khedira
1269,Kike\Kike,es ESP,FW,Eibar,es La Liga,29.0,1989.0,19.6,11.0,6,1.0,4.0,6.0,4.0,12.0,33.3,8.0,323.0,97.0,30.0,20.0,113.0,190.0,17.0,2.0,0.0,15.0,2,13,7.0,0.0,Matches,Kike,Kike
1270,Luca Kilian\Luca-Kilian,de GER,DF,Paderborn 07,de Bundesliga,19.0,1999.0,14.0,38.0,25,32.0,6.0,0.0,25.0,46.0,54.3,21.0,170.0,61.0,35.9,121.0,39.0,10.0,35.0,13.0,0.0,22.0,8,46,82.0,0.0,Matches,Luca Kilian,Luca-Kilian
1271,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,eng Premier League,22.0,1997.0,2.1,4.0,3,3.0,1.0,0.0,2.0,4.0,50.0,2.0,17.0,5.0,29.4,11.0,5.0,1.0,2.0,1.0,0.0,1.0,3,7,17.0,0.0,Matches,Max Kilman,Max-Kilman
1272,Joshua Kimmich\Joshua-Kimmich,de GER,MFDF,Bayern Munich,de Bundesliga,24.0,1995.0,31.3,63.0,40,27.0,22.0,14.0,19.0,69.0,27.5,50.0,511.0,174.0,34.1,134.0,278.0,99.0,58.0,7.0,0.0,51.0,21,84,47.0,0.0,Matches,Joshua Kimmich,Joshua-Kimmich
1273,Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,23.0,1995.0,13.6,41.0,25,31.0,10.0,0.0,18.0,28.0,64.3,10.0,124.0,49.0,39.5,62.0,57.0,5.0,14.0,5.0,0.0,9.0,18,59,36.0,1.0,Matches,Presnel Kimpembe,Presnel-Kimpembe
1274,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,eng Premier League,27.0,1992.0,22.3,19.0,15,8.0,7.0,4.0,2.0,15.0,13.3,13.0,496.0,123.0,24.8,81.0,220.0,195.0,27.0,4.0,0.0,23.0,5,24,11.0,0.0,Matches,Joshua King,Joshua-King
1275,Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,23.0,1996.0,18.3,41.0,27,27.0,7.0,7.0,21.0,40.0,52.5,19.0,271.0,84.0,31.0,125.0,101.0,45.0,30.0,5.0,0.0,25.0,8,49,37.0,0.0,Matches,Giorgos Kiriakopoulos,Giorgos-Kiriakopoulos
1276,Simon Kjær\Simon-Kjaer,dk DEN,DF,Atalanta,it Serie A,30.0,1989.0,3.2,4.0,3,1.0,3.0,0.0,3.0,7.0,42.9,4.0,49.0,14.0,28.6,20.0,29.0,0.0,11.0,4.0,0.0,7.0,6,10,19.0,1.0,Matches,Simon Kjær,Simon-Kjaer
1277,Simon Kjær\Simon-Kjaer,dk DEN,DF,Milan,it Serie A,30.0,1989.0,13.8,25.0,14,19.0,6.0,0.0,11.0,21.0,52.4,10.0,123.0,43.0,35.0,66.0,55.0,2.0,27.0,18.0,0.0,9.0,11,36,68.0,1.0,Matches,Simon Kjær,Simon-Kjaer
1278,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,26.0,1993.0,32.6,66.0,47,22.0,34.0,10.0,19.0,56.0,33.9,37.0,589.0,161.0,27.3,173.0,281.0,135.0,69.0,18.0,0.0,51.0,27,93,54.0,1.0,Matches,Davy Klaassen,Davy-Klaassen
1279,Felix Klaus\Felix-Klaus,de GER,FWMF,Wolfsburg,de Bundesliga,26.0,1992.0,7.4,23.0,13,4.0,14.0,5.0,9.0,22.0,40.9,13.0,226.0,69.0,30.5,31.0,128.0,67.0,11.0,3.0,0.0,8.0,2,25,3.0,0.0,Matches,Felix Klaus,Felix-Klaus
1280,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Cagliari,it Serie A,33.0,1985.0,26.2,36.0,25,26.0,10.0,0.0,20.0,40.0,50.0,20.0,241.0,90.0,37.3,150.0,86.0,5.0,43.0,25.0,0.0,18.0,16,52,146.0,1.0,Matches,Ragnar Klavan,Ragnar-Klavan
1281,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,eng Premier League,31.0,1988.0,6.5,9.0,4,4.0,5.0,0.0,5.0,11.0,45.5,6.0,54.0,24.0,44.4,37.0,17.0,0.0,11.0,6.0,0.0,5.0,2,11,29.0,2.0,Matches,Timm Klose,Timm-Klose
1282,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,de Bundesliga,23.0,1996.0,29.4,48.0,26,25.0,20.0,3.0,17.0,41.0,41.5,24.0,343.0,130.0,37.9,175.0,131.0,37.0,66.0,17.0,0.0,49.0,21,69,116.0,3.0,Matches,Lukas Klostermann,Lukas-Klostermann
1283,Justin Kluivert\Justin-Kluivert,nl NED,FW,Roma,it Serie A,20.0,1999.0,16.8,19.0,12,5.0,9.0,5.0,7.0,22.0,31.8,15.0,259.0,69.0,26.6,60.0,120.0,79.0,26.0,0.0,0.0,26.0,6,25,6.0,0.0,Matches,Justin Kluivert,Justin-Kluivert
1284,Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,de Bundesliga,23.0,1996.0,20.9,48.0,23,34.0,13.0,1.0,16.0,30.0,53.3,14.0,282.0,89.0,31.6,142.0,99.0,41.0,39.0,4.0,0.0,35.0,17,65,86.0,1.0,Matches,Lukas Klünter,Lukas-Klunter
1285,Robin Knoche\Robin-Knoche,de GER,DF,Wolfsburg,de Bundesliga,27.0,1992.0,17.7,40.0,25,32.0,8.0,0.0,20.0,40.0,50.0,20.0,190.0,74.0,38.9,118.0,61.0,11.0,40.0,13.0,0.0,27.0,25,65,117.0,2.0,Matches,Robin Knoche,Robin-Knoche
1286,Robin Koch\Robin-Koch,de GER,DFMF,Freiburg,de Bundesliga,23.0,1996.0,30.1,41.0,24,24.0,16.0,1.0,8.0,25.0,32.0,17.0,270.0,77.0,28.5,145.0,106.0,19.0,43.0,21.0,0.0,22.0,18,59,155.0,3.0,Matches,Robin Koch,Robin-Koch
1287,Giorgi Kochorashvili\Giorgi-Kochorashvili,ge GEO,MF,Levante,es La Liga,20.0,1999.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,Giorgi Kochorashvili,Giorgi-Kochorashvili
1288,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,eng Premier League,29.0,1989.0,1.3,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,33.0,9.0,27.3,6.0,15.0,12.0,2.0,2.0,0.0,0.0,0,0,2.0,0.0,Matches,Jonathan Kodjia,Jonathan-Kodjia
1289,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,es La Liga,25.0,1993.0,4.0,1.0,0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,88.0,18.0,20.5,7.0,40.0,41.0,2.0,0.0,0.0,2.0,1,2,3.0,0.0,Matches,Kenan Kodro,Kenan-Kodro
1290,Dominik Kohr\Dominik-Kohr,de GER,MF,Eint Frankfurt,de Bundesliga,25.0,1994.0,16.1,58.0,39,23.0,31.0,4.0,18.0,52.0,34.6,34.0,357.0,125.0,35.0,101.0,193.0,63.0,47.0,13.0,0.0,34.0,18,76,19.0,0.0,Matches,Dominik Kohr,Dominik-Kohr
1291,Koke\Koke,es ESP,MF,Atlético Madrid,es La Liga,27.0,1992.0,30.0,79.0,54,31.0,34.0,14.0,35.0,94.0,37.2,59.0,484.0,137.0,28.3,153.0,236.0,95.0,51.0,9.0,0.0,42.0,22,101,31.0,1.0,Matches,Koke,Koke
1292,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Roma,it Serie A,33.0,1985.0,30.4,41.0,25,24.0,12.0,5.0,20.0,43.0,46.5,23.0,262.0,112.0,42.7,100.0,115.0,47.0,36.0,10.0,0.0,26.0,18,59,71.0,1.0,Matches,Aleksandar Kolarov,Aleksandar-Kolarov
1293,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,eng Premier League,26.0,1993.0,18.9,35.0,18,22.0,6.0,7.0,12.0,25.0,48.0,13.0,230.0,67.0,29.1,116.0,81.0,33.0,23.0,5.0,0.0,18.0,15,50,45.0,1.0,Matches,Sead Kolašinac,Sead-Kolasinac
1294,Timothée Kolodziejczak\Timothee-Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,27.0,1991.0,14.5,17.0,12,12.0,5.0,0.0,9.0,26.0,34.6,17.0,158.0,49.0,31.0,77.0,75.0,6.0,26.0,4.0,0.0,22.0,24,41,60.0,1.0,Matches,Timothée Kolodziejczak,Timothee-Kolodziejczak
1295,Ghislain Konan\Ghislain-Konan,ci CIV,DF,Reims,fr Ligue 1,23.0,1995.0,14.8,41.0,25,21.0,17.0,3.0,18.0,37.0,48.6,19.0,184.0,58.0,31.5,102.0,56.0,26.0,22.0,2.0,0.0,20.0,26,67,59.0,0.0,Matches,Ghislain Konan,Ghislain-Konan
1296,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,de Bundesliga,20.0,1999.0,6.3,13.0,7,10.0,2.0,1.0,2.0,9.0,22.2,7.0,56.0,17.0,30.4,36.0,16.0,4.0,9.0,3.0,0.0,6.0,5,18,43.0,1.0,Matches,Ibrahima Konaté,Ibrahima-Konate
1297,Moussa Konaté\Moussa-Konate,sn SEN,FW,Amiens,fr Ligue 1,26.0,1993.0,6.8,5.0,4,1.0,4.0,0.0,1.0,6.0,16.7,5.0,139.0,28.0,20.1,13.0,76.0,50.0,4.0,2.0,0.0,2.0,0,5,1.0,0.0,Matches,Moussa Konaté,Moussa-Konate
1298,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,es La Liga,26.0,1993.0,20.1,66.0,47,37.0,22.0,7.0,19.0,51.0,37.3,32.0,461.0,131.0,28.4,208.0,208.0,45.0,41.0,10.0,0.0,31.0,24,90,59.0,0.0,Matches,Geoffrey Kondogbia,Geoffrey-Kondogbia
1299,Kouadio Koné\Kouadio-Kone,fr FRA,MF,Toulouse,fr Ligue 1,18.0,2001.0,9.7,33.0,25,14.0,15.0,4.0,13.0,36.0,36.1,23.0,299.0,89.0,29.8,97.0,175.0,27.0,19.0,1.0,0.0,18.0,20,53,13.0,0.0,Matches,Kouadio Koné,Kouadio-Kone
1300,Lamine Koné\Lamine-Kone,ci CIV,DF,Strasbourg,fr Ligue 1,30.0,1989.0,16.4,32.0,20,20.0,10.0,2.0,11.0,21.0,52.4,10.0,156.0,46.0,29.5,95.0,55.0,6.0,21.0,7.0,0.0,14.0,20,52,56.0,1.0,Matches,Lamine Koné,Lamine-Kone
1301,Moussa Koné\Moussa-Kone,sn SEN,FW,Nîmes,fr Ligue 1,22.0,1996.0,1.6,2.0,2,2.0,0.0,0.0,1.0,4.0,25.0,3.0,24.0,3.0,12.5,4.0,15.0,5.0,2.0,1.0,0.0,1.0,1,3,0.0,0.0,Matches,Moussa Koné,Moussa-Kone
1302,Youssouf Koné\Youssouf-Kone,ml MLI,DF,Lyon,fr Ligue 1,24.0,1995.0,9.1,24.0,15,18.0,5.0,1.0,11.0,20.0,55.0,9.0,81.0,23.0,28.4,57.0,17.0,7.0,8.0,1.0,0.0,7.0,6,30,22.0,0.0,Matches,Youssouf Koné,Youssouf-Kone
1303,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,eng Premier League,21.0,1997.0,22.7,27.0,18,20.0,7.0,0.0,6.0,16.0,37.5,10.0,193.0,63.0,32.6,107.0,65.0,21.0,55.0,23.0,0.0,32.0,14,41,83.0,3.0,Matches,Ezri Konsa,Ezri-Konsa
1304,Pascal Köpke\Pascal-Kopke,de GER,FW,Hertha BSC,de Bundesliga,23.0,1995.0,1.3,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,34.0,8.0,23.5,1.0,19.0,14.0,2.0,0.0,0.0,2.0,0,0,0.0,0.0,Matches,Pascal Köpke,Pascal-Kopke
1305,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,33.0,1985.0,24.3,27.0,16,21.0,5.0,1.0,9.0,20.0,45.0,11.0,169.0,60.0,35.5,99.0,60.0,10.0,49.0,20.0,0.0,29.0,16,43,140.0,1.0,Matches,Laurent Koscielny,Laurent-Koscielny
1306,Filip Kostić\Filip-Kostic,rs SRB,DFMF,Eint Frankfurt,de Bundesliga,26.0,1992.0,32.9,71.0,47,33.0,25.0,13.0,23.0,71.0,32.4,48.0,558.0,156.0,28.0,198.0,207.0,153.0,63.0,3.0,0.0,60.0,15,86,15.0,0.0,Matches,Filip Kostić,Filip-Kostic
1307,Christian Kouamé\Christian-Kouame,ci CIV,FW,Fiorentina,it Serie A,21.0,1997.0,3.3,2.0,1,0.0,2.0,0.0,0.0,2.0,0.0,2.0,48.0,14.0,29.2,3.0,28.0,17.0,6.0,1.0,0.0,5.0,4,6,1.0,0.0,Matches,Christian Kouamé,Christian-Kouame
1308,Christian Kouamé\Christian-Kouame,ci CIV,FW,Genoa,it Serie A,21.0,1997.0,10.2,5.0,3,0.0,2.0,3.0,0.0,11.0,0.0,11.0,161.0,30.0,18.6,26.0,61.0,74.0,12.0,3.0,0.0,9.0,1,6,10.0,0.0,Matches,Christian Kouamé,Christian-Kouame
1309,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Paris S-G,fr Ligue 1,17.0,2002.0,5.0,5.0,4,1.0,3.0,1.0,3.0,5.0,60.0,2.0,50.0,21.0,42.0,19.0,25.0,6.0,6.0,2.0,0.0,4.0,3,8,5.0,0.0,Matches,Nianzou Kouassi,Nianzou-Kouassi
1310,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,Augsburg,de Bundesliga,26.0,1992.0,24.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,7.0,1.0,14.3,7.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,4.0,2.0,Matches,Tomáš Koubek,Tomas-Koubek
1311,Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,it Serie A,28.0,1991.0,23.4,61.0,41,32.0,25.0,4.0,22.0,33.0,66.7,11.0,248.0,89.0,35.9,138.0,99.0,11.0,40.0,19.0,2.0,21.0,17,78,92.0,1.0,Matches,Kalidou Koulibaly,Kalidou-Koulibaly
1312,Efthimis Koulouris\Efthimis-Koulouris,gr GRE,FW,Toulouse,fr Ligue 1,23.0,1996.0,17.1,10.0,6,5.0,4.0,1.0,3.0,15.0,20.0,12.0,219.0,48.0,21.9,24.0,114.0,81.0,15.0,5.0,0.0,10.0,4,14,9.0,0.0,Matches,Efthimis Koulouris,Efthimis-Koulouris
1313,Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,es La Liga,20.0,1998.0,25.7,23.0,16,15.0,5.0,3.0,11.0,19.0,57.9,8.0,184.0,76.0,41.3,84.0,83.0,17.0,29.0,15.0,2.0,14.0,12,35,146.0,2.0,Matches,Jules Koundé,Jules-Kounde
1314,Leonardo Koutris\Leonardo-Koutris,gr GRE,DF,Mallorca,es La Liga,24.0,1995.0,1.0,1.0,0,0.0,0.0,1.0,0.0,0.0,,0.0,15.0,6.0,40.0,9.0,3.0,3.0,2.0,1.0,0.0,1.0,0,1,6.0,0.0,Matches,Leonardo Koutris,Leonardo-Koutris
1315,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,eng Premier League,29.0,1989.0,28.1,70.0,45,45.0,23.0,2.0,23.0,50.0,46.0,27.0,418.0,123.0,29.4,191.0,177.0,50.0,60.0,13.0,0.0,47.0,18,88,79.0,1.0,Matches,Cheikhou Kouyaté,Cheikhou-Kouyate
1316,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,eng Premier League,25.0,1994.0,23.0,80.0,55,31.0,42.0,7.0,30.0,78.0,38.5,48.0,533.0,173.0,32.5,154.0,279.0,100.0,28.0,2.0,0.0,26.0,12,92,17.0,0.0,Matches,Mateo Kovačić,Mateo-Kovacic
1317,Dawid Kownacki\Dawid-Kownacki,pl POL,FWMF,Düsseldorf,de Bundesliga,22.0,1997.0,12.1,16.0,13,8.0,5.0,3.0,6.0,17.0,35.3,11.0,226.0,73.0,32.3,42.0,115.0,69.0,18.0,2.0,0.0,16.0,11,27,12.0,0.0,Matches,Dawid Kownacki,Dawid-Kownacki
1318,İsmail Köybaşı\Ismail-Koybasi,tr TUR,DFFW,Granada,es La Liga,30.0,1989.0,2.6,8.0,6,5.0,2.0,1.0,0.0,1.0,0.0,1.0,51.0,15.0,29.4,25.0,17.0,9.0,3.0,0.0,0.0,3.0,1,9,7.0,0.0,Matches,İsmail Köybaşı,Ismail-Koybasi
1319,Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,de Bundesliga,31.0,1988.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,Thomas Kraft,Thomas-Kraft
1320,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,eng Premier League,24.0,1994.0,11.3,20.0,12,16.0,2.0,2.0,6.0,21.0,28.6,15.0,134.0,40.0,29.9,85.0,36.0,13.0,20.0,9.0,0.0,11.0,6,26,40.0,0.0,Matches,Emil Krafth,Emil-Krafth
1321,Andrej Kramarić\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,de Bundesliga,28.0,1991.0,15.8,3.0,2,2.0,1.0,0.0,1.0,9.0,11.1,8.0,229.0,65.0,28.4,27.0,91.0,111.0,18.0,3.0,0.0,15.0,2,5,9.0,0.0,Matches,Andrej Kramarić,Andrej-Kramaric
1322,Christoph Kramer\Christoph-Kramer,de GER,MF,M'Gladbach,de Bundesliga,28.0,1991.0,16.3,43.0,28,16.0,22.0,5.0,16.0,62.0,25.8,46.0,386.0,128.0,33.2,127.0,224.0,35.0,28.0,3.0,0.0,25.0,11,54,28.0,0.0,Matches,Christoph Kramer,Christoph-Kramer
1323,Tom Krauß\Tom-Krauss,de GER,MF,RB Leipzig,de Bundesliga,18.0,2001.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,4.0,3.0,75.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0,1,0.0,0.0,Matches,Tom Krauß,Tom-Krauss
1324,Ladislav Krejčí\Ladislav-Krejci,cz CZE,DF,Bologna,it Serie A,27.0,1992.0,11.7,18.0,9,6.0,11.0,1.0,8.0,21.0,38.1,13.0,186.0,46.0,24.7,78.0,82.0,26.0,24.0,4.0,1.0,20.0,11,29,22.0,0.0,Matches,Ladislav Krejčí,Ladislav-Krejci
